Platform,Region,Instance,On.Demand_Hour,No.UP.1Y_Month,Part.UP.1Y_UP,Part.UP.1Y_Month,All.UP.1Y_UP,Part.UP.3Y_UP,Part.UP.3Y_Month,All.UP.3Y_UP
Windows with SQL Standard,US East (N. Virginia),r3.xlarge,$0.350 per Hour,160.6,1082,48.18,1626,2066,37.96,3226
Windows with SQL Standard,US East (N. Virginia),t2.medium,$0.052 per Hour,26.28,204,8.76,302,436,5.84,607
Windows with SQL Standard,US East (N. Virginia),m3.large,$0.140 per Hour,73,443,27.01,751,673,21.9,1373
Linux,US East (N. Virginia),t2.small,$0.026 per Hour,13.14,102,4.38,151,218,2.92,303
SLES,US East (N. Virginia),c3.8xlarge,$1.680 per Hour,852.64,5216,304.41,8691,8126,262.07,16506
Windows with SQL Standard,US East (N. Virginia),c4.large,$0.116 per Hour,62.78,327,27.01,638,597,16.79,1129
Linux,US East (N. Virginia),hs1.8xlarge,$4.600 per Hour,1879.02,11213,671.6,18886,16924,554.8,34682
Windows with SQL Standard,US East (N. Virginia),c4.4xlarge,$0.928 per Hour,502.24,2616,216.08,5104,4776,134.32,9032
Linux,US East (N. Virginia),c3.2xlarge,$0.420 per Hour,213.16,1304,75.92,2170,2031,65.7,4132
Windows with SQL Web,US East (N. Virginia),c4.xlarge,$0.232 per Hour,125.56,654,54.02,1276,1194,33.58,2258
Windows with SQL Standard,US East (N. Virginia),i2.xlarge,$0.853 per Hour,309.52,1820,113.15,3114,2740,88.33,5564
Windows,US East (N. Virginia),c3.8xlarge,$1.680 per Hour,852.64,5216,304.41,8691,8126,262.07,16506
Windows with SQL Standard,US East (N. Virginia),t2.small,$0.026 per Hour,13.14,102,4.38,151,218,2.92,303
Linux,US East (N. Virginia),c3.4xlarge,$0.840 per Hour,426.32,2608,152.57,4350,4063,131.4,8265
RHEL,US East (N. Virginia),m3.medium,$0.070 per Hour,36.5,222,13.14,372,337,10.95,687
Windows with SQL Web,US East (N. Virginia),r3.large,$0.175 per Hour,80.3,541,24.09,813,1033,18.98,1613
Windows with SQL Web,US East (N. Virginia),t2.small,$0.026 per Hour,13.14,102,4.38,151,218,2.92,303
RHEL,US East (N. Virginia),g2.2xlarge,$0.650 per Hour,346.02,2306,103.66,3478,6307,43.8,7410
SLES,US East (N. Virginia),t2.micro,$0.013 per Hour,6.57,51,2.19,75,109,1.46,151
Windows with SQL Web,US East (N. Virginia),t2.medium,$0.052 per Hour,26.28,204,8.76,302,436,5.84,607
Linux,US East (N. Virginia),c3.8xlarge,$1.680 per Hour,852.64,5216,304.41,8691,8126,262.07,16506
SLES,US East (N. Virginia),r3.2xlarge,$0.700 per Hour,321.2,2164,96.36,3253,4132,75.92,6453
SLES,US East (N. Virginia),m3.medium,$0.070 per Hour,36.5,222,13.14,372,337,10.95,687
Windows with SQL Web,US East (N. Virginia),r3.xlarge,$0.350 per Hour,160.6,1082,48.18,1626,2066,37.96,3226
Windows with SQL Standard,US East (N. Virginia),i2.2xlarge,$1.705 per Hour,619.04,3640,227.03,6237,5480,175.93,11104
SLES,US East (N. Virginia),m3.xlarge,$0.280 per Hour,146,886,54.02,1503,1345,43.8,2746
RHEL,US East (N. Virginia),c4.large,$0.116 per Hour,62.78,327,27.01,638,597,16.79,1129
RHEL,US East (N. Virginia),i2.4xlarge,$3.410 per Hour,1238.08,7280,453.33,12465,10960,351.86,22209
Windows with SQL Web,US East (N. Virginia),c4.8xlarge,$1.856 per Hour,1004.48,5232,432.16,10208,9552,268.64,18064
Windows,US East (N. Virginia),g2.2xlarge,$0.650 per Hour,346.02,2306,103.66,3478,6307,43.8,7410
RHEL,US East (N. Virginia),c4.2xlarge,$0.464 per Hour,251.12,1308,108.04,2552,2388,67.16,4516
Windows with SQL Web,US East (N. Virginia),c4.2xlarge,$0.464 per Hour,251.12,1308,108.04,2552,2388,67.16,4516
Windows,US East (N. Virginia),r3.4xlarge,$1.400 per Hour,642.4,4328,192.72,6507,8264,151.84,12906
SLES,US East (N. Virginia),g2.2xlarge,$0.650 per Hour,346.02,2306,103.66,3478,6307,43.8,7410
Windows with SQL Standard,US East (N. Virginia),c3.large,$0.105 per Hour,53.29,326,18.98,542,508,16.06,1020
Linux,US East (N. Virginia),i2.4xlarge,$3.410 per Hour,1238.08,7280,453.33,12465,10960,351.86,22209
SLES,US East (N. Virginia),r3.xlarge,$0.350 per Hour,160.6,1082,48.18,1626,2066,37.96,3226
RHEL,US East (N. Virginia),t2.micro,$0.013 per Hour,6.57,51,2.19,75,109,1.46,151
SLES,US East (N. Virginia),t2.small,$0.026 per Hour,13.14,102,4.38,151,218,2.92,303
Windows,US East (N. Virginia),c3.xlarge,$0.210 per Hour,106.58,652,38.69,1093,1016,32.85,2066
Windows with SQL Standard,US East (N. Virginia),m3.medium,$0.070 per Hour,36.5,222,13.14,372,337,10.95,687
RHEL,US East (N. Virginia),r3.large,$0.175 per Hour,80.3,541,24.09,813,1033,18.98,1613
SLES,US East (N. Virginia),c3.2xlarge,$0.420 per Hour,213.16,1304,75.92,2170,2031,65.7,4132
Linux,US East (N. Virginia),r3.xlarge,$0.350 per Hour,160.6,1082,48.18,1626,2066,37.96,3226
Windows with SQL Web,US East (N. Virginia),c4.large,$0.116 per Hour,62.78,327,27.01,638,597,16.79,1129
RHEL,US East (N. Virginia),hs1.8xlarge,$4.600 per Hour,1879.02,11213,671.6,18886,16924,554.8,34682
Windows with SQL Standard,US East (N. Virginia),m3.2xlarge,$0.560 per Hour,292,1772,106.58,2989,2691,87.6,5493
SLES,US East (N. Virginia),c4.xlarge,$0.232 per Hour,125.56,654,54.02,1276,1194,33.58,2258
Windows with SQL Web,US East (N. Virginia),r3.4xlarge,$1.400 per Hour,642.4,4328,192.72,6507,8264,151.84,12906
Linux,US East (N. Virginia),m3.2xlarge,$0.560 per Hour,292,1772,106.58,2989,2691,87.6,5493
Windows with SQL Web,US East (N. Virginia),i2.4xlarge,$3.410 per Hour,1238.08,7280,453.33,12465,10960,351.86,22209
Windows with SQL Standard,US East (N. Virginia),c3.2xlarge,$0.420 per Hour,213.16,1304,75.92,2170,2031,65.7,4132
Windows with SQL Web,US East (N. Virginia),i2.2xlarge,$1.705 per Hour,619.04,3640,227.03,6237,5480,175.93,11104
Windows with SQL Web,US East (N. Virginia),g2.2xlarge,$0.650 per Hour,346.02,2306,103.66,3478,6307,43.8,7410
SLES,US East (N. Virginia),i2.xlarge,$0.853 per Hour,309.52,1820,113.15,3114,2740,88.33,5564
Windows with SQL Web,US East (N. Virginia),c4.4xlarge,$0.928 per Hour,502.24,2616,216.08,5104,4776,134.32,9032
Linux,US East (N. Virginia),r3.large,$0.175 per Hour,80.3,541,24.09,813,1033,18.98,1613
Windows,US East (N. Virginia),i2.4xlarge,$3.410 per Hour,1238.08,7280,453.33,12465,10960,351.86,22209
Windows,US East (N. Virginia),c4.xlarge,$0.232 per Hour,125.56,654,54.02,1276,1194,33.58,2258
SLES,US East (N. Virginia),c3.large,$0.105 per Hour,53.29,326,18.98,542,508,16.06,1020
Windows with SQL Web,US East (N. Virginia),i2.8xlarge,$6.820 per Hour,2476.16,14560,906.66,24931,21920,703.72,44418
RHEL,US East (N. Virginia),r3.2xlarge,$0.700 per Hour,321.2,2164,96.36,3253,4132,75.92,6453
Windows with SQL Standard,US East (N. Virginia),r3.large,$0.175 per Hour,80.3,541,24.09,813,1033,18.98,1613
Windows with SQL Web,US East (N. Virginia),c3.large,$0.105 per Hour,53.29,326,18.98,542,508,16.06,1020
Linux,US East (N. Virginia),c4.4xlarge,$0.928 per Hour,502.24,2616,216.08,5104,4776,134.32,9032
Windows with SQL Web,US East (N. Virginia),t2.micro,$0.013 per Hour,6.57,51,2.19,75,109,1.46,151
Windows with SQL Web,US East (N. Virginia),c3.4xlarge,$0.840 per Hour,426.32,2608,152.57,4350,4063,131.4,8265
SLES,US East (N. Virginia),c3.4xlarge,$0.840 per Hour,426.32,2608,152.57,4350,4063,131.4,8265
Windows with SQL Standard,US East (N. Virginia),r3.4xlarge,$1.400 per Hour,642.4,4328,192.72,6507,8264,151.84,12906
Windows with SQL Standard,US East (N. Virginia),r3.2xlarge,$0.700 per Hour,321.2,2164,96.36,3253,4132,75.92,6453
Windows with SQL Standard,US East (N. Virginia),c4.xlarge,$0.232 per Hour,125.56,654,54.02,1276,1194,33.58,2258
RHEL,US East (N. Virginia),c4.4xlarge,$0.928 per Hour,502.24,2616,216.08,5104,4776,134.32,9032
Windows with SQL Web,US East (N. Virginia),r3.2xlarge,$0.700 per Hour,321.2,2164,96.36,3253,4132,75.92,6453
Linux,US East (N. Virginia),i2.8xlarge,$6.820 per Hour,2476.16,14560,906.66,24931,21920,703.72,44418
RHEL,US East (N. Virginia),c3.2xlarge,$0.420 per Hour,213.16,1304,75.92,2170,2031,65.7,4132
RHEL,US East (N. Virginia),r3.4xlarge,$1.400 per Hour,642.4,4328,192.72,6507,8264,151.84,12906
RHEL,US East (N. Virginia),t2.medium,$0.052 per Hour,26.28,204,8.76,302,436,5.84,607
RHEL,US East (N. Virginia),r3.8xlarge,$2.800 per Hour,1284.8,8656,385.44,13015,16528,303.68,25812
Linux,US East (N. Virginia),t2.medium,$0.052 per Hour,26.28,204,8.76,302,436,5.84,607
Windows with SQL Standard,US East (N. Virginia),t2.micro,$0.013 per Hour,6.57,51,2.19,75,109,1.46,151
Windows,US East (N. Virginia),c4.8xlarge,$1.856 per Hour,1004.48,5232,432.16,10208,9552,268.64,18064
Linux,US East (N. Virginia),c4.2xlarge,$0.464 per Hour,251.12,1308,108.04,2552,2388,67.16,4516
SLES,US West (Northern California),t2.micro,$0.017 per Hour,8.76,68,2.92,100,118,2.92,209
Windows,US West (Northern California),c4.8xlarge,$2.208 per Hour,1203.04,6304,525.6,12352,13376,373.76,25216
Linux,US West (Northern California),c4.8xlarge,$2.208 per Hour,1203.04,6304,525.6,12352,13376,373.76,25216
Windows with SQL Standard,US West (Northern California),c4.4xlarge,$1.104 per Hour,601.52,3152,262.8,6176,6688,186.88,12608
RHEL,US West (Northern California),g2.2xlarge,$0.702 per Hour,375.22,2500,112.42,3772,6820,47.45,8016
Windows with SQL Standard,US West (Northern California),i2.2xlarge,$1.876 per Hour,751.9,3640,340.18,7567,5480,270.83,14316
Linux,US West (Northern California),c4.2xlarge,$0.552 per Hour,300.76,1576,131.4,3088,3344,93.44,6304
SLES,US West (Northern California),c3.large,$0.120 per Hour,65.7,326,29.93,671,508,26.28,1366
RHEL,US West (Northern California),i2.2xlarge,$1.876 per Hour,751.9,3640,340.18,7567,5480,270.83,14316
Windows with SQL Web,US West (Northern California),r3.8xlarge,$3.120 per Hour,1670.24,11160,502.24,16843,21320,397.12,33479
Windows with SQL Standard,US West (Northern California),t2.medium,$0.068 per Hour,35.04,272,11.68,403,472,11.68,838
Windows with SQL Web,US West (Northern California),i2.8xlarge,$7.502 per Hour,3007.6,14560,1359.26,30253,21920,1083.32,57264
Windows,US West (Northern California),c4.4xlarge,$1.104 per Hour,601.52,3152,262.8,6176,6688,186.88,12608
Windows with SQL Standard,US West (Northern California),c4.large,$0.138 per Hour,75.19,394,32.85,772,836,23.36,1576
Windows,US West (Northern California),t2.micro,$0.017 per Hour,8.76,68,2.92,100,118,2.92,209
Windows with SQL Web,US West (Northern California),c3.8xlarge,$1.912 per Hour,1051.2,5216,482.53,10786,8126,414.64,21669
Windows with SQL Standard,US West (Northern California),g2.2xlarge,$0.702 per Hour,375.22,2500,112.42,3772,6820,47.45,8016
Windows,US West (Northern California),t2.medium,$0.068 per Hour,35.04,272,11.68,403,472,11.68,838
RHEL,US West (Northern California),m3.large,$0.154 per Hour,84.68,443,41.61,923,673,33.58,1768
SLES,US West (Northern California),r3.large,$0.195 per Hour,104.39,698,31.39,1053,1333,24.82,2092
RHEL,US West (Northern California),m3.2xlarge,$0.616 per Hour,338.72,1772,166.44,3693,2691,133.59,7050
Windows with SQL Standard,US West (Northern California),c4.xlarge,$0.276 per Hour,150.38,788,65.7,1544,1672,46.72,3152
SLES,US West (Northern California),c3.xlarge,$0.239 per Hour,131.4,652,60.59,1351,1016,51.83,2708
Linux,US West (Northern California),i2.xlarge,$0.938 per Hour,375.95,1820,170.09,3783,2740,135.78,7170
RHEL,US West (Northern California),c3.xlarge,$0.239 per Hour,131.4,652,60.59,1351,1016,51.83,2708
Windows,US West (Northern California),r3.large,$0.195 per Hour,104.39,698,31.39,1053,1333,24.82,2092
RHEL,US West (Northern California),i2.xlarge,$0.938 per Hour,375.95,1820,170.09,3783,2740,135.78,7170
Windows with SQL Standard,US West (Northern California),i2.4xlarge,$3.751 per Hour,1503.8,7280,679.63,15126,10960,541.66,28632
Linux,US West (Northern California),c3.4xlarge,$0.956 per Hour,525.6,2608,240.9,5388,4063,207.32,10834
Windows with SQL Web,US West (Northern California),r3.large,$0.195 per Hour,104.39,698,31.39,1053,1333,24.82,2092
RHEL,US West (Northern California),i2.4xlarge,$3.751 per Hour,1503.8,7280,679.63,15126,10960,541.66,28632
Windows,US West (Northern California),r3.8xlarge,$3.120 per Hour,1670.24,11160,502.24,16843,21320,397.12,33479
RHEL,US West (Northern California),m3.medium,$0.077 per Hour,42.34,222,21.17,466,337,16.79,884
Windows,US West (Northern California),c4.xlarge,$0.276 per Hour,150.38,788,65.7,1544,1672,46.72,3152
RHEL,US West (Northern California),t2.micro,$0.017 per Hour,8.76,68,2.92,100,118,2.92,209
SLES,US West (Northern California),c3.8xlarge,$1.912 per Hour,1051.2,5216,482.53,10786,8126,414.64,21669
Windows with SQL Web,US West (Northern California),i2.2xlarge,$1.876 per Hour,751.9,3640,340.18,7567,5480,270.83,14316
SLES,US West (Northern California),r3.xlarge,$0.390 per Hour,208.78,1395,62.78,2105,2665,49.64,4184
Linux,US West (Northern California),r3.4xlarge,$1.560 per Hour,835.12,5580,251.12,8421,10660,198.56,16739
Linux,US West (Northern California),i2.4xlarge,$3.751 per Hour,1503.8,7280,679.63,15126,10960,541.66,28632
RHEL,US West (Northern California),c4.xlarge,$0.276 per Hour,150.38,788,65.7,1544,1672,46.72,3152
Windows,US West (Northern California),c4.large,$0.138 per Hour,75.19,394,32.85,772,836,23.36,1576
SLES,US West (Northern California),c4.8xlarge,$2.208 per Hour,1203.04,6304,525.6,12352,13376,373.76,25216
Windows,US West (Northern California),m3.2xlarge,$0.616 per Hour,338.72,1772,166.44,3693,2691,133.59,7050
Windows,US West (Northern California),i2.4xlarge,$3.751 per Hour,1503.8,7280,679.63,15126,10960,541.66,28632
Linux,US West (Northern California),m3.xlarge,$0.308 per Hour,169.36,886,82.49,1838,1345,67.16,3536
Windows with SQL Web,US West (Northern California),r3.2xlarge,$0.780 per Hour,417.56,2790,125.56,4210,5330,99.28,8369
Windows,US West (Northern California),i2.2xlarge,$1.876 per Hour,751.9,3640,340.18,7567,5480,270.83,14316
SLES,US West (Northern California),c4.xlarge,$0.276 per Hour,150.38,788,65.7,1544,1672,46.72,3152
Windows,US West (Northern California),t2.small,$0.034 per Hour,17.52,136,5.84,201,236,5.84,419
SLES,US West (Northern California),c4.4xlarge,$1.104 per Hour,601.52,3152,262.8,6176,6688,186.88,12608
Linux,US West (Northern California),t2.micro,$0.017 per Hour,8.76,68,2.92,100,118,2.92,209
Windows with SQL Standard,US West (Northern California),m3.medium,$0.077 per Hour,42.34,222,21.17,466,337,16.79,884
Linux,US West (Northern California),r3.8xlarge,$3.120 per Hour,1670.24,11160,502.24,16843,21320,397.12,33479
Windows with SQL Web,US West (Northern California),c3.4xlarge,$0.956 per Hour,525.6,2608,240.9,5388,4063,207.32,10834
Linux,US West (Northern California),c4.4xlarge,$1.104 per Hour,601.52,3152,262.8,6176,6688,186.88,12608
Windows,US West (Northern California),c3.8xlarge,$1.912 per Hour,1051.2,5216,482.53,10786,8126,414.64,21669
Windows with SQL Web,US West (Northern California),m3.xlarge,$0.308 per Hour,169.36,886,82.49,1838,1345,67.16,3536
Windows,US West (Northern California),m3.large,$0.154 per Hour,84.68,443,41.61,923,673,33.58,1768
RHEL,US West (Northern California),c3.4xlarge,$0.956 per Hour,525.6,2608,240.9,5388,4063,207.32,10834
SLES,US West (Northern California),r3.4xlarge,$1.560 per Hour,835.12,5580,251.12,8421,10660,198.56,16739
SLES,US West (Northern California),c4.large,$0.138 per Hour,75.19,394,32.85,772,836,23.36,1576
Windows with SQL Web,US West (Northern California),g2.2xlarge,$0.702 per Hour,375.22,2500,112.42,3772,6820,47.45,8016
Windows with SQL Standard,US West (Northern California),c3.large,$0.120 per Hour,65.7,326,29.93,671,508,26.28,1366
Linux,US West (Northern California),c3.large,$0.120 per Hour,65.7,326,29.93,671,508,26.28,1366
Windows,US West (Northern California),c3.4xlarge,$0.956 per Hour,525.6,2608,240.9,5388,4063,207.32,10834
Windows with SQL Web,US West (Northern California),m3.medium,$0.077 per Hour,42.34,222,21.17,466,337,16.79,884
RHEL,US West (Northern California),t2.medium,$0.068 per Hour,35.04,272,11.68,403,472,11.68,838
Windows,US West (Northern California),r3.xlarge,$0.390 per Hour,208.78,1395,62.78,2105,2665,49.64,4184
Windows,US West (Northern California),r3.2xlarge,$0.780 per Hour,417.56,2790,125.56,4210,5330,99.28,8369
Windows with SQL Standard,US West (Northern California),m3.xlarge,$0.308 per Hour,169.36,886,82.49,1838,1345,67.16,3536
Windows with SQL Web,US West (Northern California),c4.xlarge,$0.276 per Hour,150.38,788,65.7,1544,1672,46.72,3152
Windows with SQL Web,US West (Northern California),r3.4xlarge,$1.560 per Hour,835.12,5580,251.12,8421,10660,198.56,16739
Windows with SQL Standard,US West (Northern California),i2.8xlarge,$7.502 per Hour,3007.6,14560,1359.26,30253,21920,1083.32,57264
SLES,US West (Northern California),m3.medium,$0.077 per Hour,42.34,222,21.17,466,337,16.79,884
RHEL,US West (Northern California),r3.4xlarge,$1.560 per Hour,835.12,5580,251.12,8421,10660,198.56,16739
Windows with SQL Web,US West (Northern California),c3.2xlarge,$0.478 per Hour,262.8,1304,120.45,2694,2031,103.66,5416
Windows,US West (Northern California),r3.4xlarge,$1.560 per Hour,835.12,5580,251.12,8421,10660,198.56,16739
RHEL,US West (Northern California),c3.large,$0.120 per Hour,65.7,326,29.93,671,508,26.28,1366
RHEL,US West (Northern California),c4.4xlarge,$1.104 per Hour,601.52,3152,262.8,6176,6688,186.88,12608
SLES,US West (Northern California),t2.small,$0.034 per Hour,17.52,136,5.84,201,236,5.84,419
RHEL,US West (Northern California),r3.8xlarge,$3.120 per Hour,1670.24,11160,502.24,16843,21320,397.12,33479
SLES,US West (Northern California),c4.2xlarge,$0.552 per Hour,300.76,1576,131.4,3088,3344,93.44,6304
SLES,US West (Northern California),g2.2xlarge,$0.702 per Hour,375.22,2500,112.42,3772,6820,47.45,8016
Windows with SQL Web,US West (Northern California),i2.xlarge,$0.938 per Hour,375.95,1820,170.09,3783,2740,135.78,7170
Linux,US West (Northern California),r3.xlarge,$0.390 per Hour,208.78,1395,62.78,2105,2665,49.64,4184
RHEL,US West (Northern California),r3.2xlarge,$0.780 per Hour,417.56,2790,125.56,4210,5330,99.28,8369
Linux,US West (Northern California),t2.medium,$0.068 per Hour,35.04,272,11.68,403,472,11.68,838
Windows with SQL Web,US West (Northern California),t2.micro,$0.017 per Hour,8.76,68,2.92,100,118,2.92,209
SLES,US West (Northern California),m3.large,$0.154 per Hour,84.68,443,41.61,923,673,33.58,1768
SLES,US West (Northern California),c3.2xlarge,$0.478 per Hour,262.8,1304,120.45,2694,2031,103.66,5416
RHEL,US West (Northern California),c4.2xlarge,$0.552 per Hour,300.76,1576,131.4,3088,3344,93.44,6304
Windows with SQL Standard,US West (Northern California),m3.2xlarge,$0.616 per Hour,338.72,1772,166.44,3693,2691,133.59,7050
SLES,US West (Northern California),c3.4xlarge,$0.956 per Hour,525.6,2608,240.9,5388,4063,207.32,10834
Windows with SQL Standard,US West (Northern California),t2.small,$0.034 per Hour,17.52,136,5.84,201,236,5.84,419
Windows with SQL Standard,US West (Northern California),c4.8xlarge,$2.208 per Hour,1203.04,6304,525.6,12352,13376,373.76,25216
Windows with SQL Web,US West (Northern California),c3.large,$0.120 per Hour,65.7,326,29.93,671,508,26.28,1366
SLES,US West (Northern California),i2.xlarge,$0.938 per Hour,375.95,1820,170.09,3783,2740,135.78,7170
Windows with SQL Standard,US West (Northern California),c4.2xlarge,$0.552 per Hour,300.76,1576,131.4,3088,3344,93.44,6304
Windows with SQL Standard,US West (Northern California),c3.xlarge,$0.239 per Hour,131.4,652,60.59,1351,1016,51.83,2708
Linux,US West (Northern California),m3.2xlarge,$0.616 per Hour,338.72,1772,166.44,3693,2691,133.59,7050
Windows with SQL Standard,US West (Northern California),r3.2xlarge,$0.780 per Hour,417.56,2790,125.56,4210,5330,99.28,8369
Linux,US West (Northern California),c3.xlarge,$0.239 per Hour,131.4,652,60.59,1351,1016,51.83,2708
Linux,US West (Northern California),i2.2xlarge,$1.876 per Hour,751.9,3640,340.18,7567,5480,270.83,14316
Windows,US West (Northern California),i2.xlarge,$0.938 per Hour,375.95,1820,170.09,3783,2740,135.78,7170
RHEL,US West (Northern California),t2.small,$0.034 per Hour,17.52,136,5.84,201,236,5.84,419
Windows,US West (Northern California),c3.xlarge,$0.239 per Hour,131.4,652,60.59,1351,1016,51.83,2708
SLES,US West (Northern California),r3.8xlarge,$3.120 per Hour,1670.24,11160,502.24,16843,21320,397.12,33479
Windows,US West (Northern California),c3.large,$0.120 per Hour,65.7,326,29.93,671,508,26.28,1366
Windows with SQL Standard,US West (Northern California),i2.xlarge,$0.938 per Hour,375.95,1820,170.09,3783,2740,135.78,7170
Windows,US West (Northern California),g2.2xlarge,$0.702 per Hour,375.22,2500,112.42,3772,6820,47.45,8016
Windows,US West (Northern California),c3.2xlarge,$0.478 per Hour,262.8,1304,120.45,2694,2031,103.66,5416
SLES,US West (Northern California),m3.xlarge,$0.308 per Hour,169.36,886,82.49,1838,1345,67.16,3536
SLES,US West (Northern California),i2.2xlarge,$1.876 per Hour,751.9,3640,340.18,7567,5480,270.83,14316
RHEL,US West (Northern California),r3.large,$0.195 per Hour,104.39,698,31.39,1053,1333,24.82,2092
Linux,US West (Northern California),t2.small,$0.034 per Hour,17.52,136,5.84,201,236,5.84,419
Windows with SQL Web,US West (Northern California),r3.xlarge,$0.390 per Hour,208.78,1395,62.78,2105,2665,49.64,4184
Windows with SQL Standard,US West (Northern California),t2.micro,$0.017 per Hour,8.76,68,2.92,100,118,2.92,209
Windows with SQL Web,US West (Northern California),t2.medium,$0.068 per Hour,35.04,272,11.68,403,472,11.68,838
Windows with SQL Web,US West (Northern California),m3.large,$0.154 per Hour,84.68,443,41.61,923,673,33.58,1768
RHEL,US West (Northern California),i2.8xlarge,$7.502 per Hour,3007.6,14560,1359.26,30253,21920,1083.32,57264
Linux,US West (Northern California),g2.2xlarge,$0.702 per Hour,375.22,2500,112.42,3772,6820,47.45,8016
Windows with SQL Standard,US West (Northern California),r3.4xlarge,$1.560 per Hour,835.12,5580,251.12,8421,10660,198.56,16739
SLES,US West (Northern California),i2.4xlarge,$3.751 per Hour,1503.8,7280,679.63,15126,10960,541.66,28632
Windows,US West (Northern California),m3.medium,$0.077 per Hour,42.34,222,21.17,466,337,16.79,884
RHEL,US West (Northern California),c3.8xlarge,$1.912 per Hour,1051.2,5216,482.53,10786,8126,414.64,21669
Linux,US West (Northern California),m3.medium,$0.077 per Hour,42.34,222,21.17,466,337,16.79,884
Linux,US West (Northern California),c4.large,$0.138 per Hour,75.19,394,32.85,772,836,23.36,1576
RHEL,US West (Northern California),c4.8xlarge,$2.208 per Hour,1203.04,6304,525.6,12352,13376,373.76,25216
RHEL,US West (Northern California),c3.2xlarge,$0.478 per Hour,262.8,1304,120.45,2694,2031,103.66,5416
Windows,US West (Northern California),c4.2xlarge,$0.552 per Hour,300.76,1576,131.4,3088,3344,93.44,6304
Windows with SQL Standard,US West (Northern California),c3.2xlarge,$0.478 per Hour,262.8,1304,120.45,2694,2031,103.66,5416
Windows with SQL Web,US West (Northern California),i2.4xlarge,$3.751 per Hour,1503.8,7280,679.63,15126,10960,541.66,28632
RHEL,US West (Northern California),r3.xlarge,$0.390 per Hour,208.78,1395,62.78,2105,2665,49.64,4184
RHEL,US West (Northern California),c4.large,$0.138 per Hour,75.19,394,32.85,772,836,23.36,1576
Windows with SQL Web,US West (Northern California),c4.2xlarge,$0.552 per Hour,300.76,1576,131.4,3088,3344,93.44,6304
SLES,US West (Northern California),m3.2xlarge,$0.616 per Hour,338.72,1772,166.44,3693,2691,133.59,7050
Linux,US West (Northern California),c3.2xlarge,$0.478 per Hour,262.8,1304,120.45,2694,2031,103.66,5416
Windows with SQL Standard,US West (Northern California),r3.large,$0.195 per Hour,104.39,698,31.39,1053,1333,24.82,2092
SLES,US West (Northern California),i2.8xlarge,$7.502 per Hour,3007.6,14560,1359.26,30253,21920,1083.32,57264
Linux,US West (Northern California),c3.8xlarge,$1.912 per Hour,1051.2,5216,482.53,10786,8126,414.64,21669
Windows with SQL Web,US West (Northern California),c4.8xlarge,$2.208 per Hour,1203.04,6304,525.6,12352,13376,373.76,25216
Windows with SQL Web,US West (Northern California),t2.small,$0.034 per Hour,17.52,136,5.84,201,236,5.84,419
Windows with SQL Standard,US West (Northern California),r3.8xlarge,$3.120 per Hour,1670.24,11160,502.24,16843,21320,397.12,33479
Windows with SQL Standard,US West (Northern California),c3.8xlarge,$1.912 per Hour,1051.2,5216,482.53,10786,8126,414.64,21669
SLES,US West (Northern California),t2.medium,$0.068 per Hour,35.04,272,11.68,403,472,11.68,838
Windows with SQL Standard,US West (Northern California),c3.4xlarge,$0.956 per Hour,525.6,2608,240.9,5388,4063,207.32,10834
Windows with SQL Web,US West (Northern California),m3.2xlarge,$0.616 per Hour,338.72,1772,166.44,3693,2691,133.59,7050
Windows with SQL Web,US West (Northern California),c3.xlarge,$0.239 per Hour,131.4,652,60.59,1351,1016,51.83,2708
Windows,US West (Northern California),i2.8xlarge,$7.502 per Hour,3007.6,14560,1359.26,30253,21920,1083.32,57264
Linux,US West (Northern California),r3.large,$0.195 per Hour,104.39,698,31.39,1053,1333,24.82,2092
SLES,US West (Northern California),r3.2xlarge,$0.780 per Hour,417.56,2790,125.56,4210,5330,99.28,8369
Linux,US West (Northern California),m3.large,$0.154 per Hour,84.68,443,41.61,923,673,33.58,1768
Windows with SQL Web,US West (Northern California),c4.large,$0.138 per Hour,75.19,394,32.85,772,836,23.36,1576
Linux,US West (Northern California),r3.2xlarge,$0.780 per Hour,417.56,2790,125.56,4210,5330,99.28,8369
Windows,US West (Northern California),m3.xlarge,$0.308 per Hour,169.36,886,82.49,1838,1345,67.16,3536
Linux,US West (Northern California),i2.8xlarge,$7.502 per Hour,3007.6,14560,1359.26,30253,21920,1083.32,57264
Windows with SQL Standard,US West (Northern California),r3.xlarge,$0.390 per Hour,208.78,1395,62.78,2105,2665,49.64,4184
Windows with SQL Standard,US West (Northern California),m3.large,$0.154 per Hour,84.68,443,41.61,923,673,33.58,1768
Windows with SQL Web,US West (Northern California),c4.4xlarge,$1.104 per Hour,601.52,3152,262.8,6176,6688,186.88,12608
RHEL,US West (Northern California),m3.xlarge,$0.308 per Hour,169.36,886,82.49,1838,1345,67.16,3536
Linux,US West (Northern California),c4.xlarge,$0.276 per Hour,150.38,788,65.7,1544,1672,46.72,3152
Windows,US West (Oregon),c4.4xlarge,$0.928 per Hour,502.24,2616,216.08,5104,4776,134.32,9032
RHEL,US West (Oregon),c3.xlarge,$0.210 per Hour,106.58,652,38.69,1093,1016,32.85,2066
Windows with SQL Web,US West (Oregon),r3.large,$0.175 per Hour,80.3,541,24.09,813,1033,18.98,1613
RHEL,US West (Oregon),m3.large,$0.140 per Hour,73,443,27.01,751,673,21.9,1373
